trade_date,cusip,ytm,close_price
12/1/21,912920AK1,2.702,116.2463
12/2/21,912920AK1,2.541,116.8431
12/3/21,912920AK1,2.45,117.1894
12/6/21,912920AK1,2.675,116.2949
12/7/21,912920AK1,2.62,116.4983
12/8/21,912920AK1,2.641,116.4047
12/9/21,912920AK1,2.648,116.3428
12/10/21,912920AK1,2.627,116.413
12/13/21,912920AK1,2.573,116.6118
12/14/21,912920AK1,2.594,116.5183
12/15/21,912920AK1,2.685,116.1533
12/16/21,912920AK1,2.685,116.1191
12/17/21,912920AK1,2.677,116.1386
12/20/21,912920AK1,2.68,116.1156
12/21/21,912920AK1,2.591,116.4482
12/22/21,912920AK1,2.7048,115.9971
12/23/21,912920AK1,2.556,116.5366
12/24/21,912920AK1,2.5534,116.5351
12/27/21,912920AK1,2.69,115.9974
12/28/21,912920AK1,2.687,115.9975
12/29/21,912920AK1,2.6837,115.9902
12/30/21,912920AK1,2.668,116.0362
12/31/21,912920AK1,2.685,115.9596
1/3/22,912920AK1,2.66,116.0439
1/4/22,912920AK1,2.733,115.7537
1/5/22,912920AK1,2.794,115.5104
1/6/22,912920AK1,2.818,115.3863
1/7/22,912920AK1,2.89,115.1032
1/10/22,912920AK1,2.905,115.0358
1/11/22,912920AK1,2.757,115.5841
1/12/22,912920AK1,2.934,114.9053
1/13/22,912920AK1,2.894,115.0127
1/14/22,912920AK1,2.966,114.7324
1/17/22,912920AK1,3.0174,114.5405
1/18/22,912920AK1,3.058,114.3787
1/19/22,912920AK1,3.093,114.2383
1/20/22,912920AK1,3.095,114.2003
1/21/22,912920AK1,3.149,113.9904
1/24/22,912920AK1,3.122,114.0801
1/25/22,912920AK1,3.133,114.0294
1/26/22,912920AK1,3.276,113.4933
1/27/22,912920AK1,3.219,113.6629
1/28/22,912920AK1,3.402,113.0044
1/31/22,912920AK1,3.265,113.495
2/1/22,912920AK1,3.403,112.9822
2/2/22,912920AK1,3.354,113.1511
2/3/22,912920AK1,3.539,112.4534
2/4/22,912920AK1,3.72,111.7947
2/7/22,912920AK1,3.839,111.3619
2/8/22,912920AK1,3.807,111.4677
2/9/22,912920AK1,3.389,112.9585
2/10/22,912920AK1,3.861,111.2436
2/11/22,912920AK1,3.905,111.08
2/14/22,912920AK1,3.986,110.7867
2/15/22,912920AK1,3.424,112.7767
2/16/22,912920AK1,3.381,112.9221
2/17/22,912920AK1,3.622,112.0247
2/18/22,912920AK1,3.618,112.0302
2/21/22,912920AK1,3.5964,112.107
2/22/22,912920AK1,4.057,110.4775
2/23/22,912920AK1,3.997,110.6794
2/24/22,912920AK1,4.017,110.612
2/25/22,912920AK1,4.021,110.5503
2/28/22,912920AK1,4.042,110.4699
3/1/22,912920AK1,4.036,110.4832
3/2/22,912920AK1,4.037,110.4722
3/3/22,912920AK1,3.887,110.9695
3/4/22,912920AK1,4.1,110.225
3/7/22,912920AK1,4.333,109.4194
3/8/22,912920AK1,4.344,109.3752
3/9/22,912920AK1,4.529,108.741
3/10/22,912920AK1,4.562,108.6112
3/11/22,912920AK1,4.52,108.7466
3/14/22,912920AK1,4.532,108.6996
3/15/22,912920AK1,4.557,108.6089
3/16/22,912920AK1,4.641,108.3207
3/17/22,912920AK1,4.426,109.0229
3/18/22,912920AK1,4.454,108.9218
3/21/22,912920AK1,4.45,108.9285
3/22/22,912920AK1,4.504,108.7406
3/23/22,912920AK1,4.427,108.9921
3/24/22,912920AK1,4.478,108.8008
3/25/22,912920AK1,4.63,108.2877
3/28/22,912920AK1,4.491,108.744
3/29/22,912920AK1,4.492,108.7205
3/30/22,912920AK1,4.476,108.7873
3/31/22,912920AK1,4.575,108.4383
4/1/22,912920AK1,4.487,108.7239
4/4/22,912920AK1,4.243,109.5314
4/5/22,912920AK1,4.52,108.601
4/6/22,912920AK1,4.33,109.2261
4/7/22,912920AK1,4.626,108.225
4/8/22,912920AK1,4.651,108.1365
4/11/22,912920AK1,4.726,107.8843
4/12/22,912920AK1,4.775,107.718
4/13/22,912920AK1,4.741,107.805
4/14/22,912920AK1,4.82,107.542
4/15/22,912920AK1,4.8087,107.5787
4/18/22,912920AK1,4.549,108.4202
4/19/22,912920AK1,4.735,107.8065
4/20/22,912920AK1,4.711,107.8785
4/21/22,912920AK1,4.738,107.7727
4/22/22,912920AK1,4.775,107.6468
4/25/22,912920AK1,4.337,109.0687
4/26/22,912920AK1,4.378,108.9271
4/27/22,912920AK1,4.469,108.6226
4/28/22,912920AK1,4.395,108.8439
4/29/22,912920AK1,4.504,108.482
5/2/22,912920AK1,4.568,108.2678
5/3/22,912920AK1,4.67,107.9317
5/4/22,912920AK1,4.566,108.2614
5/5/22,912920AK1,4.612,108.0937
5/6/22,912920AK1,5.002,106.8405
5/9/22,912920AK1,5.149,106.3701
5/10/22,912920AK1,5.251,106.0442
5/11/22,912920AK1,5.035,106.7201
5/12/22,912920AK1,4.972,106.9035
5/13/22,912920AK1,5.003,106.8001
5/16/22,912920AK1,4.967,106.9085
5/17/22,912920AK1,5.121,106.4184
5/18/22,912920AK1,5.058,106.6112
5/19/22,912920AK1,4.992,106.8029
5/20/22,912920AK1,5.546,105.0748
5/23/22,912920AK1,5.604,104.8926
5/24/22,912920AK1,5.551,105.0515
5/25/22,912920AK1,5.554,105.0383
5/26/22,912920AK1,5.58,104.9268
5/27/22,912920AK1,5.142,106.2932
5/30/22,912920AK1,5.2331,106.0105
5/31/22,912920AK1,5.168,106.2076
6/1/22,912920AK1,5.135,106.305
6/2/22,912920AK1,5.139,106.2778
6/3/22,912920AK1,5.14,106.2698
6/6/22,912920AK1,5.227,105.9965
6/7/22,912920AK1,4.842,107.1847
6/8/22,912920AK1,4.893,107.0202
6/9/22,912920AK1,4.934,106.8764
6/10/22,912920AK1,5.171,106.1401
6/13/22,912920AK1,5.425,105.3593
6/14/22,912920AK1,5.525,105.0518
6/15/22,912920AK1,5.291,105.7588
6/16/22,912920AK1,5.796,104.2186
6/17/22,912920AK1,6.069,103.4044
6/20/22,912920AK1,6.1167,103.2636
6/21/22,912920AK1,5.897,103.9114
